frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
,1763110265.817130656,,,,,,,,
1,1763110265.897567249,10.30.212.17,-10.1260685920715,-77.8655362129211,30650,287.75,TAI428,0xad4ebc,DO-260B
2,1763110265.902895650,172.16.3.2,-1.41657114028931,-79.8600912094116,40450,380,AAL908,0xaaa6dd,DO-260B
3,1763110265.925082533,10.30.212.17,-13.694543838501,-77.442626953125,39250,370,UAL819,0xaac136,DO-260B
4,1763110265.943311095,172.16.11.2,-5.40055274963379,-76.4691138267517,39400,370,DWI3761,0x0c4354,DO-260B
5,1763110265.948261710,172.16.1.2,-19.8390984535217,-75.8600378036499,32675,310,AAL945,0xaa6914,DO-260B
6,1763110265.973490929,172.16.3.2,-2.89049863815308,-79.7690677642822,37175,350,CJT1507,0xc027da,DO-260B
7,1763110265.987739913,172.16.3.2,-2.39611387252808,-81.8656754493713,31775,300,UAL855,0xa89234,DO-260B
10,1763110266.029393410,172.16.11.2,-5.75490474700928,-79.4061970710754,39400,370,VOI3918,0x0d0d6d,DO-260B
12,1763110266.031901620,172.16.3.2,-3.54257583618164,-79.6857261657715,34025,320,CMP338,0x0c20d6,DO-260B
13,1763110266.049704302,172.16.13.2,-6.28523111343384,-72.8623151779175,38375,360,AVA240,0xaa57e6,DO-260B
14,1763110266.060116152,172.16.3.2,-5.75490474700928,-79.4061970710754,39400,370,VOI3918,0x0d0d6d,DO-260B
15,1763110266.060173758,172.16.7.2,-9.36517953872681,-76.8022441864014,37275,350,DWI6771,0x0c4355,DO-260B
16,1763110266.100708729,172.16.7.2,-9.36517953872681,-76.8022441864014,37275,350,DWI6771,0x0c4355,DO-260B
17,1763110266.127844116,172.16.7.2,-6.28523111343384,-72.8623151779175,38375,360,AVA240,0xaa57e6,DO-260B
18,1763110266.128011296,172.16.5.2,-13.547945022583,-74.8694443702698,31450,297,RER9511,0xe840a0,DO-260B
19,1763110266.166543044,172.16.5.2,-13.547945022583,-74.8694443702698,31450,297,RER9511,0xe840a0,DO-260B
21,1763110266.170987167,172.16.11.2,-5.85972547531128,-79.39297914505,34050,320,CMP276,0x0c20b5,DO-260B
22,1763110266.183643679,10.30.212.17,-12.0157384872437,-77.3613023757935,18400,174.25,LPE2811,0xe80408,DO-260B
24,1763110266.205750524,172.16.13.2,-2.33189105987549,-72.9864478111267,38325,360,CMP206,0x0c205f,DO-260B
26,1763110266.241631512,172.16.1.2,-20.3303289413452,-75.7121300697327,35750,340,CMP475,0x0c20f5,DO-260B
29,1763110266.246972833,172.16.3.2,-7.63571262359619,-79.1691756248474,37325,350.25,AAL1307,0xa515ad,DO-260B
30,1763110266.256695618,172.16.11.2,-9.42283630371094,-78.3876657485962,37200,350,LPE2483,0xe8040c,DO-260B
31,1763110266.266632186,172.16.3.2,-7.4925684928894,-79.1873931884766,38250,360,LAN572,0xe8022a,DO-260B
32,1763110266.269504933,172.16.3.2,-7.2899866104126,-79.8983073234558,,389.75,AAL933,0xac1076,DO-260B
33,1763110266.269537026,172.16.13.2,-1.83396577835083,-70.4597640037537,38375,360,AVA248,0xad1861,DO-260B
34,1763110266.287581003,172.16.13.2,-1.83396577835083,-70.4597640037537,38375,360,AVA248,0xad1861,DO-260B
35,1763110266.362481813,172.16.11.2,-9.36517953872681,-76.8022441864014,37300,350,DWI6771,0x0c4355,DO-260B
39,1763110266.382942928,172.16.3.2,-5.85972547531128,-79.39297914505,34050,320,CMP276,0x0c20b5,DO-260B
40,1763110266.383376009,10.30.212.17,-12.2778010368347,-77.972846031189,36175,340,TPA4090,0xa3ad89,DO-260B
41,1763110266.391462204,10.30.212.17,-12.2778010368347,-77.972846031189,36175,340,TPA4090,0xa3ad89,DO-260B
42,1763110266.392883338,172.16.11.2,-7.1125316619873,-78.799889087677,34075,320,CMP264,0x0c21b6,DO-260B
